tag,method,path,summary,roles,request,response,validation,errors,audit
Auth,GET,/auth/login,เริ่มเข้าสู่ระบบด้วย KKU SSO,Public,Query: returnUrl (optional),302 Redirect,returnUrl ต้องเป็น path ภายในระบบเท่านั้น,"SSO_UNAVAILABLE, INVALID_RETURN_URL",AUTH_LOGIN_STARTED
Auth,GET,/auth/callback,รับ Callback จาก KKU SSO,Public,Query: code + state จาก KKU,302 Redirect พร้อม Session cookie,ตรวจ state และ nonce; แลก authorization code ด้วย PKCE verifier; ตรวจลายเซ็น/issuer/audience/expiry ของ id_token; ใช้ KKU sub เป็นตัวระบุถาวร,"AUTH_CALLBACK_INVALID, STATE_MISMATCH, NONCE_MISMATCH, TOKEN_VALIDATION_FAILED, USER_NOT_PROVISIONED, USER_INACTIVE, SSO_UNAVAILABLE","AUTH_LOGIN_SUCCESS, AUTH_LOGIN_FAILURE"
Auth,GET,/auth/me,อ่านข้อมูลผู้ใช้ปัจจุบัน,"ADMIN, EVALUATOR",Session cookie,User,Session ต้องยังไม่หมดอายุและบัญชี SEMS ต้อง ACTIVE,"AUTH_REQUIRED, USER_INACTIVE",-
Auth,POST,/auth/logout,ออกจากระบบ SEMS,"ADMIN, EVALUATOR",Session + X-CSRF-Token,204 No Content,ยกเลิก Session ฝั่ง SEMS เสมอ; การออกจาก KKU SSO ทั้งหมดขึ้นกับ logout mode ที่กำหนด,"AUTH_REQUIRED, CSRF_INVALID, SSO_LOGOUT_FAILED",AUTH_LOGOUT
Users,GET,/users,ค้นหาและแสดงผู้ใช้งาน SEMS,ADMIN,Query filter + pagination,Paged<User>,pageSize ไม่เกิน 100,"AUTH_REQUIRED, FORBIDDEN",-
Users,POST,/users,เชื่อมโยง KKU Account และสร้างบัญชี SEMS,ADMIN,CreateUserRequest,201 User,kkuSub และ email ต้องไม่ซ้ำ; ระบบไม่รับหรือจัดเก็บรหัสผ่าน KKU,"VALIDATION_ERROR, DUPLICATE_KKU_SUB, DUPLICATE_EMAIL, CSRF_INVALID",USER_CREATED
Users,GET,/users/{userId},อ่านรายละเอียดผู้ใช้งาน,ADMIN,Path: userId,User,-,USER_NOT_FOUND,-
Users,PATCH,/users/{userId},แก้ไขชื่อหรือบทบาทผู้ใช้งาน,ADMIN,UpdateUserRequest,User,ห้ามลดสิทธิ์ผู้ดูแลระบบคนสุดท้าย; If-Match ต้องตรงเมื่อส่งมา,"USER_NOT_FOUND, VALIDATION_ERROR, CONCURRENCY_CONFLICT, CSRF_INVALID",USER_UPDATED
Users,POST,/users/{userId}/activate,เปิดสิทธิ์ใช้งาน SEMS,ADMIN,Path + CSRF,User,ห้ามปิดสิทธิ์ผู้ดูแลระบบ ACTIVE คนสุดท้าย,"USER_NOT_FOUND, LAST_ACTIVE_ADMIN, CSRF_INVALID",USER_ACTIVATED
Users,POST,/users/{userId}/deactivate,ปิดสิทธิ์ใช้งาน SEMS,ADMIN,Path + CSRF,User,ห้ามปิดสิทธิ์ผู้ดูแลระบบ ACTIVE คนสุดท้าย,"USER_NOT_FOUND, LAST_ACTIVE_ADMIN, CSRF_INVALID",USER_DEACTIVATED
Scholarship Rounds,GET,/scholarship-rounds,แสดงรอบทุน,"ADMIN, EVALUATOR",Query status + pagination,Paged<ScholarshipRound>,Evaluator เห็นเฉพาะรอบที่เกี่ยวข้อง โดยค่าเริ่มต้นคือ OPEN,AUTH_REQUIRED,-
Scholarship Rounds,POST,/scholarship-rounds,สร้างรอบทุน,ADMIN,CreateRoundRequest,201 ScholarshipRound,startDate ต้องไม่เกิน endDate; code ต้องไม่ซ้ำ,"VALIDATION_ERROR, DUPLICATE_ROUND_CODE, INVALID_DATE_RANGE, CSRF_INVALID",ROUND_CREATED
Scholarship Rounds,GET,/scholarship-rounds/{roundId},อ่านรายละเอียดรอบทุน,"ADMIN, EVALUATOR",Path: roundId,ScholarshipRound,-,"ROUND_NOT_FOUND, ACCESS_DENIED",-
Scholarship Rounds,PATCH,/scholarship-rounds/{roundId},แก้ไขรอบทุนสถานะ DRAFT,ADMIN,UpdateRoundRequest,ScholarshipRound,แก้ไขข้อมูลหลักได้เมื่อ DRAFT; หากมี Evaluation แล้วห้ามเปลี่ยนข้อมูลที่กระทบผล,"ROUND_NOT_FOUND, INVALID_ROUND_STATUS_TRANSITION, ROUND_HAS_EVALUATIONS, INVALID_DATE_RANGE, CONCURRENCY_CONFLICT, CSRF_INVALID",ROUND_UPDATED
Scholarship Rounds,POST,/scholarship-rounds/{roundId}/open,เปิดรอบทุน,ADMIN,Path + CSRF,ScholarshipRound,สถานะเดิมต้อง DRAFT; ต้องมี Criteria Set ACTIVE ผ่าน Pre-open Validation และมีผู้สมัครอย่างน้อย 1 ราย (Provisional RD-023),"ROUND_NOT_FOUND, INVALID_ROUND_STATUS_TRANSITION, ACTIVE_CRITERIA_REQUIRED, NO_APPLICANTS, CSRF_INVALID",ROUND_OPENED
Scholarship Rounds,POST,/scholarship-rounds/{roundId}/close,ปิดรอบทุน,ADMIN,Path + CSRF,ScholarshipRound,สถานะเดิมต้อง OPEN; ปิดการสร้าง/Submit Evaluation ใหม่; ผู้สมัคร Submitted >=2 เป็น FINALIZED; น้อยกว่า 2 เป็น CLOSED_INCOMPLETE,"ROUND_NOT_FOUND, INVALID_ROUND_STATUS_TRANSITION, CSRF_INVALID",ROUND_CLOSED
Scholarship Rounds,POST,/scholarship-rounds/{roundId}/archive,จัดเก็บรอบทุน,ADMIN,Path + CSRF,ScholarshipRound,สถานะเดิมต้อง CLOSED; ข้อมูลยังอ่านได้แต่แก้ไขไม่ได้,"ROUND_NOT_FOUND, INVALID_ROUND_STATUS_TRANSITION, CSRF_INVALID",ROUND_ARCHIVED
Imports,GET,/imports,แสดงประวัติการนำเข้า,ADMIN,Query filters,Paged<ImportBatch>,-,FORBIDDEN,-
